Time,Download,Upload,ID,Sponser,Name
13:57,28.18,5.9,1780,Comcast,"Portland, OR"
14:07,36.38,13.45,1782,Comcast,"Seattle, WA"
14:18,35.96,8.67,42157,Ziply Fiber,"Everett, WA"
14:28,47.84,7.56,1782,Comcast,"Seattle, WA"
14:39,16.94,5.79,42157,Ziply Fiber,"Everett, WA"
14:49,51.37,5.43,1782,Comcast,"Seattle, WA"
14:59,69.62,13,69016,Astound Broadband,"Port Orchard, WA"
15:10,67.18,8.64,42157,Ziply Fiber,"Everett, WA"
15:20,41.12,10.16,1782,Comcast,"Seattle, WA"
15:31,56.64,9.05,69016,Astound Broadband,"Port Orchard, WA"
15:41,33.31,7.87,1782,Comcast,"Seattle, WA"
15:51,6.33,1.08,1782,Comcast,"Seattle, WA"
16:02,43.3,7.31,8864,CenturyLink,"Seattle, WA"
16:12,55.79,5.89,1782,Comcast,"Seattle, WA"
16:23,34.76,11.24,1782,Comcast,"Seattle, WA"
16:33,54.17,15.17,42157,Ziply Fiber,"Everett, WA"
16:43,84.95,7.57,69016,Astound Broadband,"Port Orchard, WA"
16:54,30.76,9.51,69016,Astound Broadband,"Port Orchard, WA"
17:04,41.95,5.01,1782,Comcast,"Seattle, WA"
17:15,41.72,13.27,6057,Accretive Networks,"Seattle, WA"
17:25,8.83,5.58,35180,Ziply Fiber,"Seattle, WA"
17:36,31.9,14.1,60635,Wave,"Seattle, WA"
17:46,33.47,3.13,60635,Wave,"Seattle, WA"
17:56,60.59,10.94,35180,Ziply Fiber,"Seattle, WA"
18:07,41.22,12.88,35180,Ziply Fiber,"Seattle, WA"
18:17,76.26,11.4,35180,Ziply Fiber,"Seattle, WA"
18:28,37.21,10.42,35180,Ziply Fiber,"Seattle, WA"
18:38,62.21,11.21,60635,Wave,"Seattle, WA"
18:48,39.7,14.24,35180,Ziply Fiber,"Seattle, WA"
18:59,49.97,18.95,60635,Wave,"Seattle, WA"
19:09,64.24,8.9,35180,Ziply Fiber,"Seattle, WA"
19:20,8.37,6.16,35180,Ziply Fiber,"Seattle, WA"
